schema_type,title,notes,topics,tags,internal_contact_name,internal_contact_email,organization_title,custodian,homepage_url,internal_notes,language,license_id,update_frequency,metadata_created,metadata_modified,spatial_coverage_locations,temporal_coverage_start_date,temporal_coverage_end_date,dkan_uri,dkan_node_id
data,Enrolment reports 2008-09,Enrolment by school and grade for all Yukon schools,Education and training,"2008,2008-09,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:13:10,2020-08-31 14:13:10,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2008-09,51681
data,Enrolment reports 2019-20,Enrolment by school and grade for all Yukon schools,Education and training,"2019,2019-20,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:13:10,2020-08-31 14:13:10,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2019-20,51683
data,Enrolment reports 2007-08,Enrolment by school and grade for all Yukon schools,Education and training,"2007,2007-08,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:13:10,2020-08-31 14:13:10,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2007-08,51693
data,Enrolment reports 2014-15,Enrolment by school and grade for all Yukon schools,Education and training,"2014,2014-15,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:13:10,2020-08-31 14:13:10,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2014-15,51704
data,Enrolment reports 2005-06,Enrolment by school and grade for all Yukon schools,Education and training,"2005,2005-06,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:14:54,2020-08-31 14:14:54,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2005-06,51715
data,Enrolment reports 2010-11,Enrolment by school and grade for all Yukon schools,Education and training,"2010,2010-11,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:14:54,2020-08-31 14:14:54,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2010-11,51726
data,Enrolment reports 2018-19,Enrolment by school and grade for all Yukon schools,Education and training,"2018,2018-19,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:14:54,2020-08-31 14:14:54,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2018-19,51737
data,Enrolment reports 2016-17,Enrolment by school and grade for all Yukon schools,Education and training,"2016,2016-17,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:14:54,2020-08-31 14:14:54,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2016-17,51747
data,Yukon Government Open Tenders,Includes information on open tenders for Yukon Government,"Economics and industry,Government and politics","business,contracts,tenders",Procurement Support Centre,contracts@yukon.ca,Procurement Support Centre,HPW,,,english,OGL-Yukon-2.0,ad_hoc,2021-07-22 16:07:53,2021-07-26 09:13:24,,,,https://open.yukon.ca/data/datasets/yukon-government-open-tenders-0,54354
data,Yukon Government Tender Forecast,Planned procurements by Yukon Government,"Economics and industry,Government and politics","business,tenders",Procurement Support Centre,contracts@yukon.ca,Procurement Support Centre,HPW,,,english,OGL-Yukon-2.0,,2021-07-22 16:19:33,2021-07-27 14:55:14,,,,https://open.yukon.ca/data/datasets/yukon-government-tender-forecast-0,54356
data,List of registered Yukon societies,This is a list of all registered non-profits in the Yukon.,Society and culture,registry,Kara Johancsik,kara.johancsik@yukon.ca,Community Services,CS - Societies,https://yukon.ca/en/yukon-societies,,english,OGL-Yukon-2.0,quarterly,2023-11-01 15:41:40,2025-05-23 17:07:42,Yukon,2023-04-01,2024-03-31,https://open.yukon.ca/data/datasets/list-registered-yukon-societies,59322
data,Government of Yukon Human Resources (HR) metrics,"Time-based (yearly) metrics of Government of Yukon-wide Human Resources (HR) information. Produced by the People Metrics, Analytics and Projects branch of the Public Service Commission.",,,Public Service Commission,pscwebsite@yukon.ca,Public Service Commission,"PSC - People Metrics, Analytics and Projects branch",,,,OGL-Yukon-2.0,,2024-08-29 14:09:23,2024-08-29 14:13:09,,,,https://open.yukon.ca/data/datasets/government-yukon-human-resources-hr-metrics,60214
data,Teslin flood hazard maps,"The [Teslin flood hazard mapping study](https://flood-atlas.service.yukon.ca/pages/final-flood-maps) was completed between May 2023 and October 2024. Learn more by visiting the [Yukon Flood Atlas](https://flood-atlas.service.yukon.ca/pages/final-flood-maps).

In the Resources section below, you can find the project summary, technical report, “What We Heard” report, GIS data files, and flood maps for specific areas.

“AEP” in the flood map filenames below refers to “Annual Exceedance Probability”, the annual likelihood of a flood occurring, expressed as a percentage.

The flood scenarios used for mapping in the Yukon are the following:

- 0.5% event (1-in-200 chance of occurring in any year),
- 1% event (1-in-100 chance of occurring in any year), and
- 5% event (1-in-20 chance of occurring in any year).

For more information see [What is flood mapping?](https://flood-atlas.service.yukon.ca/pages/flood-mapping) or email [FloodMapping@yukon.ca](mailto:floodmapping@yukon.ca).

### See also

- [Carmacks flood hazard maps](https://open.yukon.ca/data/datasets/carmacks-flood-hazard-maps)
- [Southern Lakes flood hazard maps](https://open.yukon.ca/data/datasets/southern-lakes-flood-hazard-maps)
","Nature and environment,Science and technology","flood atlas,flood mapping,flood maps,flooding",Geomatics Yukon,Geomatics.Help@yukon.ca,Geomatics Yukon,Geomatics Yukon,https://flood-atlas.service.yukon.ca/pages/final-flood-maps,Harvest source: Flood mapping 20241212. Harvest source modified: 2024-12-02. ,,OGL-Yukon-2.0,,2024-12-12 09:55:51,2024-12-12 09:58:53,"Teslin, Yukon",,,https://open.yukon.ca/data/datasets/teslin-flood-hazard-maps,60359
data,Southern Lakes flood hazard maps,"The [Southern Lakes flood hazard mapping study](https://flood-atlas.service.yukon.ca/pages/final-flood-maps) was completed between November 2022 and April 2024. Learn more by visiting the [Yukon Flood Atlas](https://flood-atlas.service.yukon.ca/pages/final-flood-maps).

In the Resources section below, you can find the project summary, technical report, “What We Heard” report, GIS data files, and flood maps for specific areas.

“AEP” in the flood map filenames below refers to “Annual Exceedance Probability”, the annual likelihood of a flood occurring, expressed as a percentage.

The flood scenarios used for mapping in the Yukon are the following:

- 0.5% event (1-in-200 chance of occurring in any year),
- 1% event (1-in-100 chance of occurring in any year), and
- 5% event (1-in-20 chance of occurring in any year).

For more information see [What is flood mapping?](https://flood-atlas.service.yukon.ca/pages/flood-mapping) or email [FloodMapping@yukon.ca](mailto:floodmapping@yukon.ca).

### See also

- [Carmacks flood hazard maps](https://open.yukon.ca/data/datasets/carmacks-flood-hazard-maps)
- [Teslin flood hazard maps](https://open.yukon.ca/data/datasets/teslin-flood-hazard-maps)
","Nature and environment,Science and technology","flood atlas,flood mapping,flood maps,flooding",Geomatics Yukon,Geomatics.Help@yukon.ca,Geomatics Yukon,Geomatics Yukon,https://flood-atlas.service.yukon.ca/pages/final-flood-maps,Harvest source: Flood mapping 20241212. Harvest source modified: 2024-12-02. ,,OGL-Yukon-2.0,,2024-12-12 09:55:51,2024-12-12 09:58:34,"Southern Lakes, Yukon",,,https://open.yukon.ca/data/datasets/southern-lakes-flood-hazard-maps,60396
data,Carmacks flood hazard maps,"The [Carmacks flood hazard mapping study](https://flood-atlas.service.yukon.ca/pages/final-flood-maps) was completed between April 2023 and May 2024. Learn more by visiting the [Yukon Flood Atlas](https://flood-atlas.service.yukon.ca/pages/final-flood-maps).

In the Resources section below, you can find the project summary, technical report, “What We Heard” report, GIS data files, and flood maps for specific areas.

“AEP” in the flood map filenames below refers to “Annual Exceedance Probability”, the annual likelihood of a flood occurring, expressed as a percentage.

The flood scenarios used for mapping in the Yukon are the following:

- 0.5% event (1-in-200 chance of occurring in any year),
- 1% event (1-in-100 chance of occurring in any year), and
- 5% event (1-in-20 chance of occurring in any year).

For more information see [What is flood mapping?](https://flood-atlas.service.yukon.ca/pages/flood-mapping) or email [FloodMapping@yukon.ca](mailto:floodmapping@yukon.ca).

### See also

- [Southern Lakes flood hazard maps](https://open.yukon.ca/data/datasets/southern-lakes-flood-hazard-maps)
- [Teslin flood hazard maps](https://open.yukon.ca/data/datasets/teslin-flood-hazard-maps)
","Nature and environment,Science and technology","flood atlas,flood mapping,flood maps,flooding",Geomatics Yukon,Geomatics.Help@yukon.ca,Geomatics Yukon,Geomatics Yukon,https://flood-atlas.service.yukon.ca/pages/final-flood-maps,Harvest source: Flood mapping 20241212. Harvest source modified: 2024-12-02. ,,OGL-Yukon-2.0,,2024-12-12 09:55:51,2024-12-12 09:58:01,"Carmacks, Yukon",,,https://open.yukon.ca/data/datasets/carmacks-flood-hazard-maps,60429
data,Yukon tourism indicators,"These datasets provide the data displayed in the interactive [Yukon tourism indicators dashboard](https://open-data-static-files.service.yukon.ca/tourism-indicators/). 

These datasets are automatically updated on [update cycles specific to each data source](https://open-data-static-files.service.yukon.ca/tourism-indicators/data.html). [Learn more about the dashboard or see a glossary of terms used on the dashboard's about page](https://open-data-static-files.service.yukon.ca/tourism-indicators/about.html).

Data produced by the Government of Yukon is licensed under the [Open Government Licence - Yukon](https://open.yukon.ca/open-government-licence-yukon). Data from Statistics Canada is licensed under the [Statistics Canada Open Licence](https://www.statcan.gc.ca/en/reference/licence). For more specific notes and source information, see individual pages on the [Yukon tourism indicators dashboard](https://open-data-static-files.service.yukon.ca/tourism-indicators/).","Society and culture,Transport","statistics,tourism,tourism indicators",Tourism Research,tourismresearch@yukon.ca,Tourism and Culture,TC - Tourism research,https://open-data-static-files.service.yukon.ca/tourism-indicators/,,english,OGL-Yukon-2.0,monthly,2025-03-21 16:17:31,2025-03-26 16:01:59,,,,https://open.yukon.ca/data/datasets/yukon-tourism-indicators,60682
data,Census 2001 (Semi-Custom Profile of Selected CSD Aggregates in Yukon),"Datasource: Statistics Canada. 2003. Profile for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2001 Census (table). Cumulative Electronic Profiles. Statistics Canada Catalogue no. 95F0495XCB01001. Ottawa. October 22, 2003. http://www12.statcan.ca/english/census01/products/standard/profiles/ListProducts.cfm?%20Temporal=2001&APATH=3&RL=9&FREE=0 (accessed November 7, 2008). 

Statistics Canada. 2009. 2001 Census Semi-Custom Profile of Selected CSD Aggregates in Yukon, 2001 Census (tables). J5543 and CRO0105914. Ottawa. November 7, 2008.

Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons. This table is based on 20% data.

Values have been subjected to a confidentiality procedure known as random rounding.

For Statistics Canada's definition of terms, http://www12.statcan.ca/english/census01/Products/Reference/dict/atoz.htm.","Economics and industry,Labour,Language and linguistics,Persons,Society and culture","census,population,statistics canada",Gary Brown,Gary.Brown@gov.yk.ca,Yukon Bureau of Statistics,Yukon Bureau of Statistics,https://yukon.ca/en/statistics-and-data/yukon-bureau-statistics,,english,OGL-Yukon-2.0,,2025-06-26 14:45:22,2025-06-26 14:53:18,,,,https://open.yukon.ca/data/datasets/census-2001-semi-custom-profile-selected-csd-aggregates-yukon,61168
data,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),"Datasource: Statistics Canada. 2008. Profile for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census (table). Cumulative Electronic Profiles. Statistics Canada Catalogue no. 95F0495XCB01001. Ottawa. May 01, 2008. Version modified July 29,2008.  http://www12.statcan.ca/english/census06/data/profiles/release/ListProducts.cfm?Temporal=2006&APATH=3&THEME=81&PTYPE=89103&GRP=1 (accessed November 7, 2008). 

Statistics Canada. 2009. 2006 Semi-custom Profile of Yukon CSD Aggregations, 2006 Census (table). CRO0104245. Ottawa. March 17, 2009.

Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons. This table is based on 20% data.

Values have been subjected to a confidentiality procedure known as random rounding.

For Statistics Canada's definition of terms,  http://www12.statcan.ca/english/census06/reference/dictionary/atoz.cfm.","Economics and industry,Labour,Language and linguistics,Persons,Society and culture","census,population,statistics canada",Gary Brown,Gary.Brown@gov.yk.ca,Yukon Bureau of Statistics,Yukon Bureau of Statistics,https://yukon.ca/en/statistics-and-data/yukon-bureau-statistics,,english,OGL-Yukon-2.0,,2025-06-26 14:51:10,2025-06-26 14:53:22,,,,https://open.yukon.ca/data/datasets/census-2006-semi-custom-profile-yukon-csd-aggregations,61170
data,National Household Survey 2011 (Semi-custom Profile of Yukon Territory and Selected Regions),"Datasource: Statistics Canada. 2013. National Household Survey (NHS) Profile. 2011 National Household Survey. Statistics Canada Catalogue no. 99-004-XWE. Ottawa. Released September 11, 2013.  http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/index.cfm?Lang=E http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/index.cfm?Lang=E  (accessed October 9, 2014). 

Statistics Canada. 2014. 2011 Semi-custom Profile of Yukon Territory and Selected Regions, 2011 National Household Survey. Ottawa. February 20, 2014.

Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is  http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/help-aide/aboutdata-aproposdonnees.cfm?Lang=E suppressed  for confidentiality reasons. 

Values have been subjected to a confidentiality procedure known as  http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/help-aide/aboutdata-aproposdonnees.cfm?Lang=E random rounding 

For Statistics Canada's definition of terms,  http://www12.statcan.gc.ca/nhs-enm/2011/ref/dict/azindex-eng.cfm click here","Economics and industry,Education and training,Labour,Persons","population,statistics canada",Gary Brown,Gary.Brown@gov.yk.ca,Yukon Bureau of Statistics,Yukon Bureau of Statistics,https://yukon.ca/en/statistics-and-data/yukon-bureau-statistics,,english,OGL-Yukon-2.0,,2025-06-26 14:56:05,2025-06-26 14:56:38,,,,https://open.yukon.ca/data/datasets/national-household-survey-2011-semi-custom-profile-yukon-territory-and-selected,61172
data,Census 2011 (Semi-custom Profile of Yukon Territory and Selected Regions),"Datasource: Statistics Canada. 2012. Census Profile - Age, Sex, Marital Status, Families, Households, Dwellings and Language for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2011 Census. Statistics Canada Catalogue  http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/page.cfm?Lang=E&amp;Geo1=CD&amp;Code1=6001&amp;Geo2=PR&amp;Code2=01&amp;Data=Count&amp;SearchText=Yukon&amp;SearchType=Begins&amp;SearchPR=01&amp;B1=All&amp;GeoLevel=PR&amp;GeoCode=6001&amp;TABID=1 98-314-XCB2011006 Ottawa. Accessed November 23, 2012. 

Statistics Canada. 2012. 2011 Semi-custom Profile of Yukon Territory and Selected Regions, 2011 Census. CRO0130687_SP.1. Ottawa. November 20, 2012.

Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons. Private household size and private household type are based on . 

Values have been subjected to a confidentiality procedure known as random rounding.

For Statistics Canada's definition of terms,  http://www12.statcan.ca/english/census06/reference/dictionary/atoz.cfm.","Economics and industry,Labour,Language and linguistics,Persons,Society and culture","census,population,statistics canada",Gary Brown,Gary.Brown@gov.yk.ca,Yukon Bureau of Statistics,Yukon Bureau of Statistics,https://yukon.ca/en/statistics-and-data/yukon-bureau-statistics,,english,OGL-Yukon-2.0,,2025-06-26 14:58:58,2025-06-26 14:59:31,,,,https://open.yukon.ca/data/datasets/census-2011-semi-custom-profile-yukon-territory-and-selected-regions,61174
data,Census 2016 (Census Profile),"Statistics Canada. 2017. Census Profile. 2016 Census. Statistics Canada Catalogue no. 98-316-X2016001. Ottawa. Released November 29, 2017. 
https://www12.statcan.gc.ca/census-recensement/2016/dp-pd/prof/index.cfm?Lang=E","Economics and industry,Labour,Language and linguistics,Persons,Society and culture","census,community statistics,population,statistics canada",Yukon Bureau of Statistics,ybsinfo@yukon.ca,Yukon Bureau of Statistics,Yukon Bureau of Statistics,https://community-statistics.service.yukon.ca/,,english,OGL-Yukon-2.0,,2025-06-26 15:33:17,2025-06-26 15:34:21,,,,https://open.yukon.ca/data/datasets/census-2016-census-profile,61176
data,Census 2021 (Census Profile),"Statistics Canada. 2022. Census Profile. 2021 Census of Population. Statistics Canada Catalogue number 98-316-X2021001. Ottawa. Released October 26, 2022. 
https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/index.cfm","Economics and industry,Labour,Language and linguistics,Persons,Society and culture","census,community statistics,population,statistics canada",Yukon Bureau of Statistics,ybsinfo@yukon.ca,Yukon Bureau of Statistics,Yukon Bureau of Statistics,https://community-statistics.service.yukon.ca/,,english,OGL-Yukon-2.0,,2025-06-26 15:37:28,2025-06-26 15:38:10,,,,https://open.yukon.ca/data/datasets/census-2021-census-profile,61178
